ช่วงเวลา,งาน,เครื่องมือ,คนที่เกี่ยวข้อง,ความถี่,หมายเหตุ
เช้า (08:00-09:30),ใช้เวลาประมาณ 5 นาทีในการเช็คอีเมล ตรวจดูเช็คลิสงานที่ต้องทำในแต่ละวัน วางแผนขั้นตอนการทำงานในแต่ละวัน,เครื่องมือหลักที่จะใช้ในช่วงเช้าจะมี Line Official ที่เอาไว้ใช้ในการติดต่อกับผู้สมัคร และใช้ Excel ในการอัพเดทข้อมูลพนักงานปัจจุบัน พนักงานที่แจ้งลาออก และพนักงานที่กำลังจะมาเริ่มงานในแต่ละสาขา,"ช่วงเช้าต้องประสานงานกับคุณนาราภัทร ตำแหน่ง Payroll ทีม HR ในการเปิดรหัสพนักงาน ในกรณีที่มีพนักงารนใหม่เข้ามาเริ่มงาน
และประสานงานกับคุณชื่นฤทัย, คุณจีรนันท์, คุณวัชรินทร์, คุณอุไรรัตน์ ,คุณพณกิจ ที่เป้นผู้จัดการเขตที่ดูแลแต่ละสาขาให้กับ  ฝ่าย Operation",ทุกวัน,
สาย (09:30-12:00),หน้าที่หลักๆในช่วงนี้คือ ตอบผู็สมัครที่สมัครเข้ามาในช่วงที่เราเลิกงานไปแล้ว โทรหาผู้สมัครที่น่าสนใจ ประสานงานกับทางผู้จัดการเขตในการนัดหมายวันเริ่มงาน,เครื่องมือหลักที่จะใช้ในช่วงเช้าจะมี Line Official ที่เอาไว้ใช้ในการติดต่อกับผู้สมัคร และใช้ Excel ในการอัพเดทข้อมูลพนักงานปัจจุบัน พนักงานที่แจ้งลาออก และพนักงานที่กำลังจะมาเริ่มงานในแต่ละสาขา,"ช่วงเช้าต้องประสานงานกับคุณนาราภัทร ตำแหน่ง Payroll ทีม HR ในการเปิดรหัสพนักงาน ในกรณีที่มีพนักงารนใหม่เข้ามาเริ่มงาน
และประสานงานกับคุณชื่นฤทัย, คุณจีรนันท์, คุณวัชรินทร์, คุณอุไรรัตน์ ,คุณพณกิจ ที่เป้นผู้จัดการเขตที่ดูแลแต่ละสาขาให้กับ  ฝ่าย Operation",ทุกวัน,
สาย (09:30-12:00),เทรนนิ่งของผู้สมัครที่ผ่านการสัมภาษณ์ ในวันที่มีพนักงานมาเริ่มงาน ก็จะใช้เวลาระหว่าง 9.30 ถึง 10.30 ในการ Orientation พนักงานที่มาเริ้่มงานใหม่,เครื่องมือหลักที่จะใช้ในช่วงเช้าจะมี Line Official ที่เอาไว้ใช้ในการติดต่อกับผู้สมัคร และใช้ Excel ในการอัพเดทข้อมูลพนักงานปัจจุบัน พนักงานที่แจ้งลาออก และพนักงานที่กำลังจะมาเริ่มงานในแต่ละสาขา,"ช่วงเช้าต้องประสานงานกับคุณนาราภัทร ตำแหน่ง Payroll ทีม HR ในการเปิดรหัสพนักงาน ในกรณีที่มีพนักงารนใหม่เข้ามาเริ่มงาน
และประสานงานกับคุณชื่นฤทัย, คุณจีรนันท์, คุณวัชรินทร์, คุณอุไรรัตน์ ,คุณพณกิจ ที่เป้นผู้จัดการเขตที่ดูแลแต่ละสาขาให้กับ  ฝ่าย Operation",ทุกวัน,
เที่ยง,พักกลานวันตั้งแต่ 12.00 ถึง 13.00 เป้นเวลา 1 ชั่วโมง มีประชุม Lunch ช่วงเที่ยง สัปดาห์ละ 1 ครั้ง,เครื่องมือหลักที่จะใช้ในช่วงเช้าจะมี Line Official ที่เอาไว้ใช้ในการติดต่อกับผู้สมัคร และใช้ Excel ในการอัพเดทข้อมูลพนักงานปัจจุบัน พนักงานที่แจ้งลาออก และพนักงานที่กำลังจะมาเริ่มงานในแต่ละสาขา,"ช่วงเช้าต้องประสานงานกับคุณนาราภัทร ตำแหน่ง Payroll ทีม HR ในการเปิดรหัสพนักงาน ในกรณีที่มีพนักงารนใหม่เข้ามาเริ่มงาน
และประสานงานกับคุณชื่นฤทัย, คุณจีรนันท์, คุณวัชรินทร์, คุณอุไรรัตน์ ,คุณพณกิจ ที่เป้นผู้จัดการเขตที่ดูแลแต่ละสาขาให้กับ  ฝ่าย Operation",ทุกวัน,
บ่าย (13:00-16:00),ช่วงบ่ายจะเป้นการดำเนินการจัดทำเอกสารให้กับพนักงานที่กำลังจะมาเริ่มงาน,เครื่องมือหลักที่จะใช้ในช่วงเช้าจะมี Line Official ที่เอาไว้ใช้ในการติดต่อกับผู้สมัคร และใช้ Excel ในการอัพเดทข้อมูลพนักงานปัจจุบัน พนักงานที่แจ้งลาออก และพนักงานที่กำลังจะมาเริ่มงานในแต่ละสาขา,"ช่วงเช้าต้องประสานงานกับคุณนาราภัทร ตำแหน่ง Payroll ทีม HR ในการเปิดรหัสพนักงาน ในกรณีที่มีพนักงารนใหม่เข้ามาเริ่มงาน
และประสานงานกับคุณชื่นฤทัย, คุณจีรนันท์, คุณวัชรินทร์, คุณอุไรรัตน์ ,คุณพณกิจ ที่เป้นผู้จัดการเขตที่ดูแลแต่ละสาขาให้กับ  ฝ่าย Operation",ทุกวัน,
บ่าย (13:00-16:00),ผู้สมัครที่ผ่านการสัมภาษณ์,เครื่องมือหลักที่จะใช้ในช่วงเช้าจะมี Line Official ที่เอาไว้ใช้ในการติดต่อกับผู้สมัคร และใช้ Excel ในการอัพเดทข้อมูลพนักงานปัจจุบัน พนักงานที่แจ้งลาออก และพนักงานที่กำลังจะมาเริ่มงานในแต่ละสาขา,"ช่วงเช้าต้องประสานงานกับคุณนาราภัทร ตำแหน่ง Payroll ทีม HR ในการเปิดรหัสพนักงาน ในกรณีที่มีพนักงารนใหม่เข้ามาเริ่มงาน
และประสานงานกับคุณชื่นฤทัย, คุณจีรนันท์, คุณวัชรินทร์, คุณอุไรรัตน์ ,คุณพณกิจ ที่เป้นผู้จัดการเขตที่ดูแลแต่ละสาขาให้กับ  ฝ่าย Operation",ทุกวัน,
บ่าย (13:00-16:00),คอนเฟิร์มวันเริ่มงานให้กับผู้สมัครที่ผ่านการสัมภาษณ์จากทางผู้จัดการเขต,เครื่องมือหลักที่จะใช้ในช่วงเช้าจะมี Line Official ที่เอาไว้ใช้ในการติดต่อกับผู้สมัคร และใช้ Excel ในการอัพเดทข้อมูลพนักงานปัจจุบัน พนักงานที่แจ้งลาออก และพนักงานที่กำลังจะมาเริ่มงานในแต่ละสาขา,"ช่วงเช้าต้องประสานงานกับคุณนาราภัทร ตำแหน่ง Payroll ทีม HR ในการเปิดรหัสพนักงาน ในกรณีที่มีพนักงารนใหม่เข้ามาเริ่มงาน
และประสานงานกับคุณชื่นฤทัย, คุณจีรนันท์, คุณวัชรินทร์, คุณอุไรรัตน์ ,คุณพณกิจ ที่เป้นผู้จัดการเขตที่ดูแลแต่ละสาขาให้กับ  ฝ่าย Operation",ทุกวัน,
บ่าย (13:00-16:00),จัดทำงานให้ได้ตามที่รับมอบหมายจากทาง Supervisor,เครื่องมือหลักที่จะใช้ในช่วงเช้าจะมี Line Official ที่เอาไว้ใช้ในการติดต่อกับผู้สมัคร และใช้ Excel ในการอัพเดทข้อมูลพนักงานปัจจุบัน พนักงานที่แจ้งลาออก และพนักงานที่กำลังจะมาเริ่มงานในแต่ละสาขา,"ช่วงเช้าต้องประสานงานกับคุณนาราภัทร ตำแหน่ง Payroll ทีม HR ในการเปิดรหัสพนักงาน ในกรณีที่มีพนักงารนใหม่เข้ามาเริ่มงาน
และประสานงานกับคุณชื่นฤทัย, คุณจีรนันท์, คุณวัชรินทร์, คุณอุไรรัตน์ ,คุณพณกิจ ที่เป้นผู้จัดการเขตที่ดูแลแต่ละสาขาให้กับ  ฝ่าย Operation",ทุกวัน,
บ่าย (13:00-16:00),ในส่วนของการประชุม จะมีการประชุมระหว่างทางทีมกับ General Manager สัปดาห์ละ 1 ครั้ง ในวันอังคาร โโยในการประชุมจะเป้นการอัพเดทภาพรวมการทำงานของ HR,เครื่องมือหลักที่จะใช้ในช่วงเช้าจะมี Line Official ที่เอาไว้ใช้ในการติดต่อกับผู้สมัคร และใช้ Excel ในการอัพเดทข้อมูลพนักงานปัจจุบัน พนักงานที่แจ้งลาออก และพนักงานที่กำลังจะมาเริ่มงานในแต่ละสาขา,"ช่วงเช้าต้องประสานงานกับคุณนาราภัทร ตำแหน่ง Payroll ทีม HR ในการเปิดรหัสพนักงาน ในกรณีที่มีพนักงารนใหม่เข้ามาเริ่มงาน
และประสานงานกับคุณชื่นฤทัย, คุณจีรนันท์, คุณวัชรินทร์, คุณอุไรรัตน์ ,คุณพณกิจ ที่เป้นผู้จัดการเขตที่ดูแลแต่ละสาขาให้กับ  ฝ่าย Operation",ทุกวัน,
บ่าย - รายงาน,เอกสารที่ต้องทำทุกวันจะเป็นเอกสารที่เกี่ยวกับพนักงานที่ผ่านการสัมภาษณ์ โดยเอกสารที่ต้องทำจะมี สัญญาจ้าง ใบอนุมัติการรับพนักงาน,เครื่องมือหลักที่จะใช้ในช่วงเช้าจะมี Line Official ที่เอาไว้ใช้ในการติดต่อกับผู้สมัคร และใช้ Excel ในการอัพเดทข้อมูลพนักงานปัจจุบัน พนักงานที่แจ้งลาออก และพนักงานที่กำลังจะมาเริ่มงานในแต่ละสาขา,"ช่วงเช้าต้องประสานงานกับคุณนาราภัทร ตำแหน่ง Payroll ทีม HR ในการเปิดรหัสพนักงาน ในกรณีที่มีพนักงารนใหม่เข้ามาเริ่มงาน
และประสานงานกับคุณชื่นฤทัย, คุณจีรนันท์, คุณวัชรินทร์, คุณอุไรรัตน์ ,คุณพณกิจ ที่เป้นผู้จัดการเขตที่ดูแลแต่ละสาขาให้กับ  ฝ่าย Operation",ทุกวัน,
