ช่วงเวลา,งาน,เครื่องมือ,คนที่เกี่ยวข้อง,ความถี่,หมายเหตุ
เช้า (08:00-09:30),เช็คmail มาเป็นอันดับแรก ตรวจสอบข้อความline จัดการภารกิจงานที่ยังคงค้างของเมื่อวาน,"Line, Google Sheets, โปรแกรมเงินเดือนสำเร็จรูป BUSINESS PLUS SOFTWARE","ประสานงานภายในทีมHR ทุกคน, ฝ่ายบัญชี",ทุกวัน,
สาย (09:30-12:00),ตรวจสอบ Time attendance รายการ ขาด ลา สาย ผ่านระบบ HRM Connect,"Line, Google Sheets, โปรแกรมเงินเดือนสำเร็จรูป BUSINESS PLUS SOFTWARE","ประสานงานภายในทีมHR ทุกคน, ฝ่ายบัญชี",ทุกวัน,
สาย (09:30-12:00),บันทึกทะเบียนประวัติข้อมูลพนักงานเริ่มงาน,"Line, Google Sheets, โปรแกรมเงินเดือนสำเร็จรูป BUSINESS PLUS SOFTWARE","ประสานงานภายในทีมHR ทุกคน, ฝ่ายบัญชี",ทุกวัน,
เที่ยง,พักเที่ยงเมื่อทำงานช่วงเช้าได้ตามเป้าหมาย,"Line, Google Sheets, โปรแกรมเงินเดือนสำเร็จรูป BUSINESS PLUS SOFTWARE","ประสานงานภายในทีมHR ทุกคน, ฝ่ายบัญชี",ทุกวัน,
บ่าย (13:00-16:00),ประมวลผล time attendance พนักงานมากกว่า 100 คน,"Line, Google Sheets, โปรแกรมเงินเดือนสำเร็จรูป BUSINESS PLUS SOFTWARE","ประสานงานภายในทีมHR ทุกคน, ฝ่ายบัญชี",ทุกวัน,
บ่าย - รายงาน,time attendance ที่ต้องตรวจสอบ,"Line, Google Sheets, โปรแกรมเงินเดือนสำเร็จรูป BUSINESS PLUS SOFTWARE","ประสานงานภายในทีมHR ทุกคน, ฝ่ายบัญชี",ทุกวัน,
บ่าย - รายงาน,แสดงผลอย่างถูกต้อง,"Line, Google Sheets, โปรแกรมเงินเดือนสำเร็จรูป BUSINESS PLUS SOFTWARE","ประสานงานภายในทีมHR ทุกคน, ฝ่ายบัญชี",ทุกวัน,
เย็น,ช่วงวันที่ 21จนถึงสิ้นเดือน งานเงินเดือนต้องเสร็จให้ทันตามที่กำหนด,"Line, Google Sheets, โปรแกรมเงินเดือนสำเร็จรูป BUSINESS PLUS SOFTWARE","ประสานงานภายในทีมHR ทุกคน, ฝ่ายบัญชี",ทุกวัน,
รายสัปดาห์/เดือน,งานเงินเดือน ต้องส่งข้อมูลก่อนวันที่ 25 ของทุกเดือน,"Line, Google Sheets, โปรแกรมเงินเดือนสำเร็จรูป BUSINESS PLUS SOFTWARE","ประสานงานภายในทีมHR ทุกคน, ฝ่ายบัญชี",ไม่ใช่ทุกวัน,
รายสัปดาห์/เดือน,1-5 ของเดือน ส่,"Line, Google Sheets, โปรแกรมเงินเดือนสำเร็จรูป BUSINESS PLUS SOFTWARE","ประสานงานภายในทีมHR ทุกคน, ฝ่ายบัญชี",ไม่ใช่ทุกวัน,
