ช่วงเวลา,งาน,เครื่องมือ,คนที่เกี่ยวข้อง,ความถี่,หมายเหตุ
เช้า (08:00-09:30),เช็ค Email,"Team,Outlook,word Excel,canva,google,pdf","เบลล์ -HR Admin
พี่จอย - แม่บ้าน
พี่วรรณ - HR Manager
--
พี่ปลา - SM ดราก้อน ทาว์น",ทุกวัน,
เช้า (08:00-09:30),ดูช่องทาง Chat ต่าง ๆ เพื่อตามความคืบหน้าของงาน ตรวจสอบเอกสารของทีม ก่อนนำเสนออนุมัติ ดูงานค้างของเมื่อวานนี้ เช็คปฏิทินเรื่องจองห้องประชุม,"Team,Outlook,word Excel,canva,google,pdf","เบลล์ -HR Admin
พี่จอย - แม่บ้าน
พี่วรรณ - HR Manager
--
พี่ปลา - SM ดราก้อน ทาว์น",ทุกวัน,
สาย (09:30-12:00),จัดทำเอกสาร Memo สำคัญ เร่งด่วน แก้ปัญหาระหว่างวัน เช็คการทำงานแม่บ้าน เริ่มทำงานตามแผนที่วางไว้,"Team,Outlook,word Excel,canva,google,pdf","เบลล์ -HR Admin
พี่จอย - แม่บ้าน
พี่วรรณ - HR Manager
--
พี่ปลา - SM ดราก้อน ทาว์น",ทุกวัน,
เที่ยง,เวลาพักเที่ยง 12.00 - 13.00 น. จะมีงานเตรียมความพร้อมห้องประชุม Management Meeting ทุกวันพฤหัสบดี เวลาประชุม 13.30 - 17.00 น.,"Team,Outlook,word Excel,canva,google,pdf","เบลล์ -HR Admin
พี่จอย - แม่บ้าน
พี่วรรณ - HR Manager
--
พี่ปลา - SM ดราก้อน ทาว์น",ทุกวัน,
บ่าย (13:00-16:00),มีประชุมฝ่าย ทุกวันอังคาร เวลา 9.00 - 10.30 น.,"Team,Outlook,word Excel,canva,google,pdf","เบลล์ -HR Admin
พี่จอย - แม่บ้าน
พี่วรรณ - HR Manager
--
พี่ปลา - SM ดราก้อน ทาว์น",ทุกวัน,
บ่าย (13:00-16:00),เวลาช่วงบ่าย จัดทำเอกสาร หาข้อมูล ตามแผนงานที่วางไว้,"Team,Outlook,word Excel,canva,google,pdf","เบลล์ -HR Admin
พี่จอย - แม่บ้าน
พี่วรรณ - HR Manager
--
พี่ปลา - SM ดราก้อน ทาว์น",ทุกวัน,
บ่าย - รายงาน,มีรายงานประจำเดือน,"Team,Outlook,word Excel,canva,google,pdf","เบลล์ -HR Admin
พี่จอย - แม่บ้าน
พี่วรรณ - HR Manager
--
พี่ปลา - SM ดราก้อน ทาว์น",ทุกวัน,
บ่าย - รายงาน,1.รายงานสถิติค่าที่จอดรถประจำเดือน,"Team,Outlook,word Excel,canva,google,pdf","เบลล์ -HR Admin
พี่จอย - แม่บ้าน
พี่วรรณ - HR Manager
--
พี่ปลา - SM ดราก้อน ทาว์น",ทุกวัน,
บ่าย - รายงาน,2.รายงานการใช้ห้องประชุม,"Team,Outlook,word Excel,canva,google,pdf","เบลล์ -HR Admin
พี่จอย - แม่บ้าน
พี่วรรณ - HR Manager
--
พี่ปลา - SM ดราก้อน ทาว์น",ทุกวัน,
บ่าย - รายงาน,3.รายงานประจำสัปดาห์,"Team,Outlook,word Excel,canva,google,pdf","เบลล์ -HR Admin
พี่จอย - แม่บ้าน
พี่วรรณ - HR Manager
--
พี่ปลา - SM ดราก้อน ทาว์น",ทุกวัน,
เย็น,เตรียมแผนงานของวันพรุ่งนี้ สรุปรายการจองห้องประชุม เขียนรายการติดตามงานเพื่อทำต่อวันพรุ่งนี้,"Team,Outlook,word Excel,canva,google,pdf","เบลล์ -HR Admin
พี่จอย - แม่บ้าน
พี่วรรณ - HR Manager
--
พี่ปลา - SM ดราก้อน ทาว์น",ทุกวัน,
รายสัปดาห์/เดือน,รายงานรายเดือน 1.ค่าดูแลสาขา ส่งไม่เกิน 20 ของทุกเดือน 2.รายงานสถิติค่าที่จอดรถประจำเดือน ไม่เกิน วันที่ 15 3.รายงานการใช้ห้องประชุม ทุกวันที่ 20 4.รายงานประจำสัปดาห์ ส่งทุกวันจันทร์ 5. หนังสือเตือน ทุกวันที่ 20 6.ค่าขออนุมัติเบิกจ่ายเงินค่าจ้างบุคลากรภายนอกทำงานชั่วคราว ไม่เกิน วันที่ 25,"Team,Outlook,word Excel,canva,google,pdf","เบลล์ -HR Admin
พี่จอย - แม่บ้าน
พี่วรรณ - HR Manager
--
พี่ปลา - SM ดราก้อน ทาว์น",ไม่ใช่ทุกวัน,
