ช่วงเวลา,งาน,เครื่องมือ,คนที่เกี่ยวข้อง,ความถี่,หมายเหตุ
10:00-11:00,เวลา 10:00 เช็ครายงานจากทีมผ่านระบบ MS Teams,,,ทุกวัน,
10:00-11:00,Email จาก parther รวมทั้งติดตามงานเอกสาร PO เพื่อเข้ารอบจ่ายตามรอบบัญชี ทุกวันที่ 10,,,ทุกวัน,
10:00-11:00,วันที่ 25 ของเดือน,,,ทุกวัน,
11:00-12:00,ช่วงเวลา 11:00 เข้าตรวจสอบระบบ JC-Global on Production ว่ามี bug หรือ  session error ในการดึงข้อมูลไหม,,,ทุกวัน,
12:00-13:00,ช่วงเวลา 12:00 เริ่ม Dev งาน ai ระบบ JC-Market ในส่วนการดึงข้อมูล  API จาก BC มาแสดงในรายการการสินค้า,,,ทุกวัน,
13:00-14:00,ช่วงเวลา 13:00 Dev งาน ai ระบบ JC-Market ต่อ แต่เป็นส่วนของ ส่งข้อมูล API เข้า BC แล้วสร้างเอกสาร SO,,,ทุกวัน,
15:00-16:00,ช่วง 15:00 ทดสอบผลลัพธ์ของงาน JC-Market ว่าได้ผลลัพธ์ถูกต้องไหม,,,ทุกวัน,
16:00-17:00,ช่วง 16:00 แก้ไขงานระบบ JC-Market,,,ทุกวัน,
16:00-17:00,ทดสอบใหม่อีกครั้ง ว่าได้ผลลัพธ์ถูกต้องไหม,,,ทุกวัน,
17:00-18:00,ช่วง 17:00 ประชุมงานพัฒนา API เชื่อมต่อระบบ ERP TH กับ KindDee ERP CN โดยมีคุณเติ้ลเป็น Lead,,,ทุกวัน,
17:00-18:00,ประสานงานกับคุณ Fairy in china,,,ทุกวัน,
18:00-19:00,ช่วง 19:00 วาง Flow การพัฒนา API เชื่อมต่อระบบ ERP TH กับ KindDee ERP CN กับทีมไอทีเจี้ยนชา เพื่อนำไปหารือกับผู้ให้บริการ ERP ประเทศไทย คือคุณเก่งจาก บ Exsys,,,ทุกวัน,
รายสัปดาห์/เดือน,ผมมีประชุมทีมฝ่ายไอทีทุกวันเสาร์ตอน 11:00 - 12:30 ทุกสัปดาห์ เพื่อสรุปการทำงาน,,,ไม่ใช่ทุกวัน,
รายสัปดาห์/เดือน,งานที่ยังไม่เสร็จว่ามีอะไรบ้าง เพื่อวางแผนการแก้ไขปัญหาให้ทั่วถึง,,,ไม่ใช่ทุกวัน,
