ช่วงเวลา,งาน,เครื่องมือ,คนที่เกี่ยวข้อง,ความถี่,หมายเหตุ
เช้า (08:00-09:30),List งาน ไล่เรียงงานที่ต้องส่ง ตัวไหนถึงกำหนด Deadline ที่ต้องส่งแล้ว มีประเด็นปัญหาเคสต่าง ๆ ที่ค้างจากเมื่อวาน หรือ เมื่อสัปดาห์ที่ผ่านมา,"Chat GPT, Claude, Germini, Canva, Line, Business Plus, Excel, Power Point, Mail Outlook","คุณเก้า GM, คุณแนท MD, คุณอู๊ด EC, คุณแฮป Board, คุณพลอย Board, คุณกุ๊กไก่ OM, คุณกี้ FA, คุณเมย์ AM, คุณเอ็ม AM เพื่อขออนุมัติงาน, เพื่อแก้ไขปัญหาเคสพนักงาน อาทิ ไม่ผ่านทดลองงาน, ฝ่าฝืนวินัยข้อบังคับ, ปรึกษาปัญหาด้าน HR, ลูกค้า FC Complain พนักงาน",ทุกวัน,
เช้า (08:00-09:30),ต้องตามข้อมูลจากใครตรงไหน,"Chat GPT, Claude, Germini, Canva, Line, Business Plus, Excel, Power Point, Mail Outlook","คุณเก้า GM, คุณแนท MD, คุณอู๊ด EC, คุณแฮป Board, คุณพลอย Board, คุณกุ๊กไก่ OM, คุณกี้ FA, คุณเมย์ AM, คุณเอ็ม AM เพื่อขออนุมัติงาน, เพื่อแก้ไขปัญหาเคสพนักงาน อาทิ ไม่ผ่านทดลองงาน, ฝ่าฝืนวินัยข้อบังคับ, ปรึกษาปัญหาด้าน HR, ลูกค้า FC Complain พนักงาน",ทุกวัน,
เช้า (08:00-09:30),สรุปเป็น List เอางานด่วนทำออกไปก่อน,"Chat GPT, Claude, Germini, Canva, Line, Business Plus, Excel, Power Point, Mail Outlook","คุณเก้า GM, คุณแนท MD, คุณอู๊ด EC, คุณแฮป Board, คุณพลอย Board, คุณกุ๊กไก่ OM, คุณกี้ FA, คุณเมย์ AM, คุณเอ็ม AM เพื่อขออนุมัติงาน, เพื่อแก้ไขปัญหาเคสพนักงาน อาทิ ไม่ผ่านทดลองงาน, ฝ่าฝืนวินัยข้อบังคับ, ปรึกษาปัญหาด้าน HR, ลูกค้า FC Complain พนักงาน",ทุกวัน,
สาย (09:30-12:00),50% → งานวิเคราะห์ (JG,"Chat GPT, Claude, Germini, Canva, Line, Business Plus, Excel, Power Point, Mail Outlook","คุณเก้า GM, คุณแนท MD, คุณอู๊ด EC, คุณแฮป Board, คุณพลอย Board, คุณกุ๊กไก่ OM, คุณกี้ FA, คุณเมย์ AM, คุณเอ็ม AM เพื่อขออนุมัติงาน, เพื่อแก้ไขปัญหาเคสพนักงาน อาทิ ไม่ผ่านทดลองงาน, ฝ่าฝืนวินัยข้อบังคับ, ปรึกษาปัญหาด้าน HR, ลูกค้า FC Complain พนักงาน",ทุกวัน,
สาย (09:30-12:00),Salary,"Chat GPT, Claude, Germini, Canva, Line, Business Plus, Excel, Power Point, Mail Outlook","คุณเก้า GM, คุณแนท MD, คุณอู๊ด EC, คุณแฮป Board, คุณพลอย Board, คุณกุ๊กไก่ OM, คุณกี้ FA, คุณเมย์ AM, คุณเอ็ม AM เพื่อขออนุมัติงาน, เพื่อแก้ไขปัญหาเคสพนักงาน อาทิ ไม่ผ่านทดลองงาน, ฝ่าฝืนวินัยข้อบังคับ, ปรึกษาปัญหาด้าน HR, ลูกค้า FC Complain พนักงาน",ทุกวัน,
สาย (09:30-12:00),Survey,"Chat GPT, Claude, Germini, Canva, Line, Business Plus, Excel, Power Point, Mail Outlook","คุณเก้า GM, คุณแนท MD, คุณอู๊ด EC, คุณแฮป Board, คุณพลอย Board, คุณกุ๊กไก่ OM, คุณกี้ FA, คุณเมย์ AM, คุณเอ็ม AM เพื่อขออนุมัติงาน, เพื่อแก้ไขปัญหาเคสพนักงาน อาทิ ไม่ผ่านทดลองงาน, ฝ่าฝืนวินัยข้อบังคับ, ปรึกษาปัญหาด้าน HR, ลูกค้า FC Complain พนักงาน",ทุกวัน,
สาย (09:30-12:00),Structure),"Chat GPT, Claude, Germini, Canva, Line, Business Plus, Excel, Power Point, Mail Outlook","คุณเก้า GM, คุณแนท MD, คุณอู๊ด EC, คุณแฮป Board, คุณพลอย Board, คุณกุ๊กไก่ OM, คุณกี้ FA, คุณเมย์ AM, คุณเอ็ม AM เพื่อขออนุมัติงาน, เพื่อแก้ไขปัญหาเคสพนักงาน อาทิ ไม่ผ่านทดลองงาน, ฝ่าฝืนวินัยข้อบังคับ, ปรึกษาปัญหาด้าน HR, ลูกค้า FC Complain พนักงาน",ทุกวัน,
สาย (09:30-12:00),30% เคลียร์เอกสารขออนุมัติต่าง ๆ,"Chat GPT, Claude, Germini, Canva, Line, Business Plus, Excel, Power Point, Mail Outlook","คุณเก้า GM, คุณแนท MD, คุณอู๊ด EC, คุณแฮป Board, คุณพลอย Board, คุณกุ๊กไก่ OM, คุณกี้ FA, คุณเมย์ AM, คุณเอ็ม AM เพื่อขออนุมัติงาน, เพื่อแก้ไขปัญหาเคสพนักงาน อาทิ ไม่ผ่านทดลองงาน, ฝ่าฝืนวินัยข้อบังคับ, ปรึกษาปัญหาด้าน HR, ลูกค้า FC Complain พนักงาน",ทุกวัน,
สาย (09:30-12:00),20% ติดตามงานของทีมสถานะแก้ไขปัญหาต่าง ๆ ทำทุกวัน,"Chat GPT, Claude, Germini, Canva, Line, Business Plus, Excel, Power Point, Mail Outlook","คุณเก้า GM, คุณแนท MD, คุณอู๊ด EC, คุณแฮป Board, คุณพลอย Board, คุณกุ๊กไก่ OM, คุณกี้ FA, คุณเมย์ AM, คุณเอ็ม AM เพื่อขออนุมัติงาน, เพื่อแก้ไขปัญหาเคสพนักงาน อาทิ ไม่ผ่านทดลองงาน, ฝ่าฝืนวินัยข้อบังคับ, ปรึกษาปัญหาด้าน HR, ลูกค้า FC Complain พนักงาน",ทุกวัน,
สาย (09:30-12:00),ตอบปัญหาเคสผู้จัดการ/พนักงาน วันละ 3-5 เคสต่อวัน เช่น พนักงานไม่ผ่านทดลองงาน,"Chat GPT, Claude, Germini, Canva, Line, Business Plus, Excel, Power Point, Mail Outlook","คุณเก้า GM, คุณแนท MD, คุณอู๊ด EC, คุณแฮป Board, คุณพลอย Board, คุณกุ๊กไก่ OM, คุณกี้ FA, คุณเมย์ AM, คุณเอ็ม AM เพื่อขออนุมัติงาน, เพื่อแก้ไขปัญหาเคสพนักงาน อาทิ ไม่ผ่านทดลองงาน, ฝ่าฝืนวินัยข้อบังคับ, ปรึกษาปัญหาด้าน HR, ลูกค้า FC Complain พนักงาน",ทุกวัน,
