ช่วงเวลา,งาน,เครื่องมือ,คนที่เกี่ยวข้อง,ความถี่,หมายเหตุ
เช้า (08:00-09:30),เช็คอีเมลตรวจเช็คช่องทางการประกาศรับสมัครงานของบริษัททั้งหมด เช็คจำนวนผู้สมัครคร่าวๆของวัน,"outlook ,jobthai,jobs DB, jobfinfin ,Line  ,Microsoft Office","ทีมHR ทั้งหมด ทีมออฟฟิศทั้งหมดเช่นBD ,SCM ,MKT",ทุกวัน,
สาย (09:30-12:00),ถ้าเป็นวันอังคาร-ศุกร์จะโทรคุยกับผู้สมัครหลังจากนั้นส่งข้อมูลผู้สมัครที่ผ่านการสัมภาษณ์เบื้องต้นให้กับทางต้นสังกัดพิจรณาต่อ,"outlook ,jobthai,jobs DB, jobfinfin ,Line  ,Microsoft Office","ทีมHR ทั้งหมด ทีมออฟฟิศทั้งหมดเช่นBD ,SCM ,MKT",ทุกวัน,
สาย (09:30-12:00),นัดสัมภาษณ์ในกรณีที่ผู้สมัครผ่านการพิจารณา ส่วนวันจันทร์จะตรวจเช็คความคืบหน้างานสรรหาของทีมเพื่อทำรีพอตส่งหัวหน้า,"outlook ,jobthai,jobs DB, jobfinfin ,Line  ,Microsoft Office","ทีมHR ทั้งหมด ทีมออฟฟิศทั้งหมดเช่นBD ,SCM ,MKT",ทุกวัน,
สาย (09:30-12:00),ผู้บริหารในการประชุมทุกวันอังคาร,"outlook ,jobthai,jobs DB, jobfinfin ,Line  ,Microsoft Office","ทีมHR ทั้งหมด ทีมออฟฟิศทั้งหมดเช่นBD ,SCM ,MKT",ทุกวัน,
เที่ยง,พัก1ชม บางวันมีสัมภาษณ์ตอนเที่ยงบ้างก้จะเลื่อนเวลาพักไปบ่าย,"outlook ,jobthai,jobs DB, jobfinfin ,Line  ,Microsoft Office","ทีมHR ทั้งหมด ทีมออฟฟิศทั้งหมดเช่นBD ,SCM ,MKT",ทุกวัน,
บ่าย (13:00-16:00),มีประชุมทุกวันพฤหัสบดี ส่วนวันอื่นๆจะใช้ทำงานส่วนอื่นนอกจากงานสรรหาเช่นงานประชุมกับแผนกอื่นๆเรื่องขั้นตอนการทำงานเพื่อเขียนโครงสร้างองค์กรหรืองานคิดนโยบายสวัสดิการต่างๆการพัฒนาองย์กร หรือถ้าเป็นงานสรรหาก็จะเป็นการObserveสัมภาษณ์,"outlook ,jobthai,jobs DB, jobfinfin ,Line  ,Microsoft Office","ทีมHR ทั้งหมด ทีมออฟฟิศทั้งหมดเช่นBD ,SCM ,MKT",ทุกวัน,
บ่าย (13:00-16:00),ประเมินผู้สมัคร,"outlook ,jobthai,jobs DB, jobfinfin ,Line  ,Microsoft Office","ทีมHR ทั้งหมด ทีมออฟฟิศทั้งหมดเช่นBD ,SCM ,MKT",ทุกวัน,
บ่าย - รายงาน,มีสรุปงานของทีมเพื่อใช้สั่งการในวันถัดไปที่ต้องทำทุกวัน,"outlook ,jobthai,jobs DB, jobfinfin ,Line  ,Microsoft Office","ทีมHR ทั้งหมด ทีมออฟฟิศทั้งหมดเช่นBD ,SCM ,MKT",ทุกวัน,
บ่าย - รายงาน,งานทำรีพอตทุกวันจันทร์กับงานทำรีพอตประชุมทุกวันพฤหัสบดี,"outlook ,jobthai,jobs DB, jobfinfin ,Line  ,Microsoft Office","ทีมHR ทั้งหมด ทีมออฟฟิศทั้งหมดเช่นBD ,SCM ,MKT",ทุกวัน,
เย็น,สรุปงานเพื่อเตรียมวันพรุ่งนี้หรือหากมีงานด่วนก็จะสรุปแล้วกลับไปทำที่บ้าน,"outlook ,jobthai,jobs DB, jobfinfin ,Line  ,Microsoft Office","ทีมHR ทั้งหมด ทีมออฟฟิศทั้งหมดเช่นBD ,SCM ,MKT",ทุกวัน,
รายสัปดาห์/เดือน,ทุกวันจันทร์ทำรีพอตเพื่อเตรียมประชุมวันอังคาร,"outlook ,jobthai,jobs DB, jobfinfin ,Line  ,Microsoft Office","ทีมHR ทั้งหมด ทีมออฟฟิศทั้งหมดเช่นBD ,SCM ,MKT",ไม่ใช่ทุกวัน,
รายสัปดาห์/เดือน,ทุกวันพฤหัสบดีเช้าทำรีพอตเพื่อเตรียมประชุมวันพฤหัสบดีบ่าย กับทำเอกสารประเมินProbation ของหน้าสาขาต้องทำภายในวันที่ 21 ของทุกเดือนส่วนของสำนักงานใหญ่ต้องทำให้เสร็จก่อนวันที่ 29-30 ของเดือน,"outlook ,jobthai,jobs DB, jobfinfin ,Line  ,Microsoft Office","ทีมHR ทั้งหมด ทีมออฟฟิศทั้งหมดเช่นBD ,SCM ,MKT",ไม่ใช่ทุกวัน,
