ช่วงเวลา,งาน,เครื่องมือ,คนที่เกี่ยวข้อง,ความถี่,หมายเหตุ
เช้า (08:00-09:30),ดูใบ check list ว่าต้องทำอะไรบ้างในแต่ละวัน เราจะมีการเขียนไว้ทุกครั้งก่อนเลิกงานว่าเรายังเหลืออะไร,มีเข้าไปดู Excel แล้วก็ทำ tracking อันนี้ใช้ notion เพื่อดูว่าแต่ละคนที่เราทำ short list มาอยู่ใน process อะไรบ้างแล้ว  แล้วก็มีเช็คไลน์ เหมือนกัน,หลักๆจะเป็นคุณถาวร เพราะคุณถาวรก่อนหน้านี้เป็น Recruitment Supervisor ทีม HR ทำให้มีการประสานงานและติดต่อมากที่สุด มีคุณวรรณ HR Manager ที่ต้องมีการคุยเรื่อง Process ของแคนดิเดต แล้วก็เวลามีพนักงานมาเริ่มงานในวันนั้นๆ ทุกเช้าจะประสานงานกับ IT เพื่อขอคอมให้กับพนักงานใหม่ ก็มีทั้งคุณอิสราบ้าง คุณต่อพงศ์บ้าง ทั้งคู่เป็น IT Support Officer อันนี้คือช่วงเช้า,ทุกวัน,
เช้า (08:00-09:30),มีอะไรที่ต้องรีบทำให้เสร็จบ้าง หลังจากนั้นจัดลำดับความสำคัญ ส่วนมากจะเช็คอีเมลก่อนว่ามีใครส่งเอกสารมาเพิ่มเติมไหม หรือมีใครสมัครงานเข้ามาในตำแหน่งอะไรบ้าง หลังจากเช็คครบหมดแล้วเราจะ list เพิ่มลงใน short list ของเราว่าตอนนี้มีคนจากตำแหน่งอะไรบ้างที่จะส่งต่อให้ hiring manager หลังจากดูครบแล้วจะมาดูเรื่องของเอกสารต่อว่ามีอะไรที่ต้องแก้หรือเอกสารของพนักงานคนไหนขาดบ้าง,มีเข้าไปดู Excel แล้วก็ทำ tracking อันนี้ใช้ notion เพื่อดูว่าแต่ละคนที่เราทำ short list มาอยู่ใน process อะไรบ้างแล้ว  แล้วก็มีเช็คไลน์ เหมือนกัน,หลักๆจะเป็นคุณถาวร เพราะคุณถาวรก่อนหน้านี้เป็น Recruitment Supervisor ทีม HR ทำให้มีการประสานงานและติดต่อมากที่สุด มีคุณวรรณ HR Manager ที่ต้องมีการคุยเรื่อง Process ของแคนดิเดต แล้วก็เวลามีพนักงานมาเริ่มงานในวันนั้นๆ ทุกเช้าจะประสานงานกับ IT เพื่อขอคอมให้กับพนักงานใหม่ ก็มีทั้งคุณอิสราบ้าง คุณต่อพงศ์บ้าง ทั้งคู่เป็น IT Support Officer อันนี้คือช่วงเช้า,ทุกวัน,
สาย (09:30-12:00),หาคนตามแพลตฟอร์มต่างๆ,มีเข้าไปดู Excel แล้วก็ทำ tracking อันนี้ใช้ notion เพื่อดูว่าแต่ละคนที่เราทำ short list มาอยู่ใน process อะไรบ้างแล้ว  แล้วก็มีเช็คไลน์ เหมือนกัน,หลักๆจะเป็นคุณถาวร เพราะคุณถาวรก่อนหน้านี้เป็น Recruitment Supervisor ทีม HR ทำให้มีการประสานงานและติดต่อมากที่สุด มีคุณวรรณ HR Manager ที่ต้องมีการคุยเรื่อง Process ของแคนดิเดต แล้วก็เวลามีพนักงานมาเริ่มงานในวันนั้นๆ ทุกเช้าจะประสานงานกับ IT เพื่อขอคอมให้กับพนักงานใหม่ ก็มีทั้งคุณอิสราบ้าง คุณต่อพงศ์บ้าง ทั้งคู่เป็น IT Support Officer อันนี้คือช่วงเช้า,ทุกวัน,
สาย (09:30-12:00),ทำ art work ลงประกาศหาคนตามเฟสบุ๊ค,มีเข้าไปดู Excel แล้วก็ทำ tracking อันนี้ใช้ notion เพื่อดูว่าแต่ละคนที่เราทำ short list มาอยู่ใน process อะไรบ้างแล้ว  แล้วก็มีเช็คไลน์ เหมือนกัน,หลักๆจะเป็นคุณถาวร เพราะคุณถาวรก่อนหน้านี้เป็น Recruitment Supervisor ทีม HR ทำให้มีการประสานงานและติดต่อมากที่สุด มีคุณวรรณ HR Manager ที่ต้องมีการคุยเรื่อง Process ของแคนดิเดต แล้วก็เวลามีพนักงานมาเริ่มงานในวันนั้นๆ ทุกเช้าจะประสานงานกับ IT เพื่อขอคอมให้กับพนักงานใหม่ ก็มีทั้งคุณอิสราบ้าง คุณต่อพงศ์บ้าง ทั้งคู่เป็น IT Support Officer อันนี้คือช่วงเช้า,ทุกวัน,
สาย (09:30-12:00),มีทำ art work ไว้ลงเกี่ยวกับบริษัทลงใน Linkedin,มีเข้าไปดู Excel แล้วก็ทำ tracking อันนี้ใช้ notion เพื่อดูว่าแต่ละคนที่เราทำ short list มาอยู่ใน process อะไรบ้างแล้ว  แล้วก็มีเช็คไลน์ เหมือนกัน,หลักๆจะเป็นคุณถาวร เพราะคุณถาวรก่อนหน้านี้เป็น Recruitment Supervisor ทีม HR ทำให้มีการประสานงานและติดต่อมากที่สุด มีคุณวรรณ HR Manager ที่ต้องมีการคุยเรื่อง Process ของแคนดิเดต แล้วก็เวลามีพนักงานมาเริ่มงานในวันนั้นๆ ทุกเช้าจะประสานงานกับ IT เพื่อขอคอมให้กับพนักงานใหม่ ก็มีทั้งคุณอิสราบ้าง คุณต่อพงศ์บ้าง ทั้งคู่เป็น IT Support Officer อันนี้คือช่วงเช้า,ทุกวัน,
เที่ยง,บางวัน 12.00 บางครั้งก็ 13.00 ส่วนมากพักแค่ 30 นาทีก็มาทำงานต่อค่ะ,มีเข้าไปดู Excel แล้วก็ทำ tracking อันนี้ใช้ notion เพื่อดูว่าแต่ละคนที่เราทำ short list มาอยู่ใน process อะไรบ้างแล้ว  แล้วก็มีเช็คไลน์ เหมือนกัน,หลักๆจะเป็นคุณถาวร เพราะคุณถาวรก่อนหน้านี้เป็น Recruitment Supervisor ทีม HR ทำให้มีการประสานงานและติดต่อมากที่สุด มีคุณวรรณ HR Manager ที่ต้องมีการคุยเรื่อง Process ของแคนดิเดต แล้วก็เวลามีพนักงานมาเริ่มงานในวันนั้นๆ ทุกเช้าจะประสานงานกับ IT เพื่อขอคอมให้กับพนักงานใหม่ ก็มีทั้งคุณอิสราบ้าง คุณต่อพงศ์บ้าง ทั้งคู่เป็น IT Support Officer อันนี้คือช่วงเช้า,ทุกวัน,
บ่าย (13:00-16:00),ถ้าประชุมส่วนมากจะเป็นประชุมช่วงเช้า 10.00-11.00 ค่ะ อันนี้จะเป็นแผนก HR กับ GM ในทุกๆวันอังคาร,มีเข้าไปดู Excel แล้วก็ทำ tracking อันนี้ใช้ notion เพื่อดูว่าแต่ละคนที่เราทำ short list มาอยู่ใน process อะไรบ้างแล้ว  แล้วก็มีเช็คไลน์ เหมือนกัน,หลักๆจะเป็นคุณถาวร เพราะคุณถาวรก่อนหน้านี้เป็น Recruitment Supervisor ทีม HR ทำให้มีการประสานงานและติดต่อมากที่สุด มีคุณวรรณ HR Manager ที่ต้องมีการคุยเรื่อง Process ของแคนดิเดต แล้วก็เวลามีพนักงานมาเริ่มงานในวันนั้นๆ ทุกเช้าจะประสานงานกับ IT เพื่อขอคอมให้กับพนักงานใหม่ ก็มีทั้งคุณอิสราบ้าง คุณต่อพงศ์บ้าง ทั้งคู่เป็น IT Support Officer อันนี้คือช่วงเช้า,ทุกวัน,
บ่าย (13:00-16:00),ช่วงเย็นจะเป็นช่วง 17.00-18.00 ถ้าอิงจากช่วงแรกจะเป็นวันศุกร์ที่มีประชุมค่ะ,มีเข้าไปดู Excel แล้วก็ทำ tracking อันนี้ใช้ notion เพื่อดูว่าแต่ละคนที่เราทำ short list มาอยู่ใน process อะไรบ้างแล้ว  แล้วก็มีเช็คไลน์ เหมือนกัน,หลักๆจะเป็นคุณถาวร เพราะคุณถาวรก่อนหน้านี้เป็น Recruitment Supervisor ทีม HR ทำให้มีการประสานงานและติดต่อมากที่สุด มีคุณวรรณ HR Manager ที่ต้องมีการคุยเรื่อง Process ของแคนดิเดต แล้วก็เวลามีพนักงานมาเริ่มงานในวันนั้นๆ ทุกเช้าจะประสานงานกับ IT เพื่อขอคอมให้กับพนักงานใหม่ ก็มีทั้งคุณอิสราบ้าง คุณต่อพงศ์บ้าง ทั้งคู่เป็น IT Support Officer อันนี้คือช่วงเช้า,ทุกวัน,
บ่าย - รายงาน,มี tracking ที่ต้องทำให้เสร็จภายในทุกๆวันศุกร์,มีเข้าไปดู Excel แล้วก็ทำ tracking อันนี้ใช้ notion เพื่อดูว่าแต่ละคนที่เราทำ short list มาอยู่ใน process อะไรบ้างแล้ว  แล้วก็มีเช็คไลน์ เหมือนกัน,หลักๆจะเป็นคุณถาวร เพราะคุณถาวรก่อนหน้านี้เป็น Recruitment Supervisor ทีม HR ทำให้มีการประสานงานและติดต่อมากที่สุด มีคุณวรรณ HR Manager ที่ต้องมีการคุยเรื่อง Process ของแคนดิเดต แล้วก็เวลามีพนักงานมาเริ่มงานในวันนั้นๆ ทุกเช้าจะประสานงานกับ IT เพื่อขอคอมให้กับพนักงานใหม่ ก็มีทั้งคุณอิสราบ้าง คุณต่อพงศ์บ้าง ทั้งคู่เป็น IT Support Officer อันนี้คือช่วงเช้า,ทุกวัน,
บ่าย - รายงาน,เสาร์ เพื่อที่จะเอามาพูดคุย Process งานทุกครั้งที่มีประชุมวันอังคารถัดไป ส่วนมากทำนานอยู่ค่ะ ประมาณ 1-2 ชม. เพราะต้องลงข้อมูลลง notion,มีเข้าไปดู Excel แล้วก็ทำ tracking อันนี้ใช้ notion เพื่อดูว่าแต่ละคนที่เราทำ short list มาอยู่ใน process อะไรบ้างแล้ว  แล้วก็มีเช็คไลน์ เหมือนกัน,หลักๆจะเป็นคุณถาวร เพราะคุณถาวรก่อนหน้านี้เป็น Recruitment Supervisor ทีม HR ทำให้มีการประสานงานและติดต่อมากที่สุด มีคุณวรรณ HR Manager ที่ต้องมีการคุยเรื่อง Process ของแคนดิเดต แล้วก็เวลามีพนักงานมาเริ่มงานในวันนั้นๆ ทุกเช้าจะประสานงานกับ IT เพื่อขอคอมให้กับพนักงานใหม่ ก็มีทั้งคุณอิสราบ้าง คุณต่อพงศ์บ้าง ทั้งคู่เป็น IT Support Officer อันนี้คือช่วงเช้า,ทุกวัน,
